#     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25
#     t  gt_x  gt_y  gt_z  gt_ro gt_pi gt_ya gt_vx gt_vy gt_vz gt_vr gt_vp gt_vy od_x  od_y  od_z  od_ro od_pi od_ya od_vx od_vy od_vz od_vr od_vp od_vy   ts
0.000000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.004953 -0.000470 0.033585 0.000864 -0.001272 -0.007717 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.007511 -0.002809 0.033612 -0.000325 0.000116 -0.007688 1336386844.327849865 
8.931324959 -0.044236 -0.004195 0.299956 0.007720 -0.011364 -0.068919 -0.025626 0.002355 0.016426 0.002283 0.003397 -0.039629 -0.067087 -0.025085 0.300203 -0.002899 0.001037 -0.068662 -0.026217 -0.007154 0.017229 -0.002815 0.001505 -0.039804 1336386853.259174824 
19.053493023 -0.303332 0.036294 0.463446 0.034655 0.026933 -0.469653 -0.108037 0.032444 -0.029394 0.024976 0.009753 -0.179694 -0.336584 -0.078625 0.475082 -0.031566 0.015047 -0.471608 -0.112441 0.016393 -0.029201 0.015692 0.007604 -0.180636 1336386863.381342888 
21.732890129 -0.522633 0.248084 0.395570 0.085188 0.066045 -0.950749 -0.047111 0.014787 -0.024576 0.012578 0.006316 -0.089901 -0.587184 0.095687 0.400035 0.007099 0.018997 -0.956054 -0.050451 -0.000844 -0.025017 0.004196 0.003495 -0.090551 1336386866.060739994 
27.290158033 -0.603286 0.521954 0.284044 0.113203 0.133833 -1.449509 0.002117 -0.037366 -0.004219 0.004059 -0.001988 -0.008427 -0.753406 0.324710 0.266332 0.020375 0.039487 -1.459427 -0.002767 -0.047858 -0.004083 -0.001485 0.000550 -0.008749 1336386871.618007898 
35.427587986 -0.898374 0.477993 0.213898 0.136566 0.125173 -1.520017 -0.049869 -0.193673 -0.010166 -0.005450 -0.005257 -0.060432 -1.142364 0.305485 0.226099 0.005432 0.045315 -1.530589 -0.054163 -0.204204 -0.010318 -0.010002 -0.003178 -0.060243 1336386879.755437851 
37.015379190 -1.204789 0.548315 0.166380 0.115189 0.129364 -1.617025 -0.022117 -0.175686 -0.026427 0.006046 0.005504 -0.028914 -1.469727 0.379118 0.211869 -0.014805 0.040580 -1.626346 -0.020572 -0.180354 -0.024608 0.005090 0.004652 -0.027896 1336386881.343229055 
38.702407122 -1.491602 0.608741 0.093495 0.119088 0.144046 -1.664906 -0.034941 -0.196076 -0.013134 -0.008861 0.001911 -0.048517 -1.772093 0.432166 0.176303 -0.008118 0.047685 -1.673571 -0.043719 -0.203958 -0.012640 -0.011953 0.006251 -0.048089 1336386883.030256987 
40.290198088 -1.790953 0.700464 0.044363 0.093621 0.155781 -1.741967 -0.008804 -0.192523 -0.019261 0.006555 -0.001409 -0.008470 -2.087179 0.535205 0.162192 -0.030719 0.056851 -1.750124 -0.014632 -0.193482 -0.018575 0.007527 0.001611 -0.007494 1336386884.618047953 
41.877989054 -2.084124 0.774450 -0.011779 0.101885 0.154796 -1.755730 0.039442 -0.143757 -0.003650 -0.013794 0.000298 0.047003 -2.385870 0.614080 0.143501 -0.019446 0.059038 -1.762117 0.032151 -0.150445 -0.002804 -0.015859 0.004354 0.046499 1336386886.205838919 
43.961965084 -2.390168 0.755046 -0.062035 0.087823 0.144726 -1.657190 -0.021754 -0.248018 0.000154 -0.000212 0.004442 -0.012695 -2.706448 0.608029 0.139801 -0.046695 0.069714 -1.665177 -0.022177 -0.253418 0.001352 -0.001856 0.004767 -0.011855 1336386888.289814949 
45.252045155 -2.704984 0.814220 -0.085562 0.085234 0.151852 -1.673186 0.024791 -0.147146 0.002797 -0.016675 0.004708 0.014614 -3.028908 0.666033 0.158755 -0.050172 0.075135 -1.680785 0.021401 -0.156864 0.003905 -0.020923 0.006526 0.013829 1336386889.579895020 
47.336021185 -3.014319 0.797752 -0.113441 0.055221 0.158962 -1.641609 0.007356 -0.207569 -0.018408 0.019682 -0.009291 0.011451 -3.358102 0.655792 0.179861 -0.091642 0.090133 -1.652572 0.007947 -0.206486 -0.020395 0.021465 -0.009007 0.012900 1336386891.663871050 
48.824573994 -3.320812 0.815701 -0.159027 0.087117 0.144192 -1.625184 -0.182898 0.012372 -0.003555 0.002296 0.017159 -0.291341 -3.666871 0.669467 0.176702 -0.057842 0.078520 -1.632161 -0.180514 -0.004662 -0.000449 -0.004666 0.011403 -0.290512 1336386893.152423859 
50.511603117 -3.282898 1.120039 -0.118805 0.012129 0.197057 -2.122045 0.023317 -0.032442 0.059943 0.012531 0.001726 -0.087408 -3.656132 0.972998 0.200289 -0.095922 0.061253 -2.123537 0.015903 -0.031485 0.055901 0.011636 0.007032 -0.085647 1336386894.839452982 
54.977264166 -3.489817 1.066280 0.121570 -0.008801 0.194355 -2.520143 -0.023343 -0.018891 0.013137 0.010071 -0.006127 -0.059483 -3.800533 0.959949 0.457405 -0.059957 0.052322 -2.507756 -0.031240 -0.025133 0.014974 0.004610 -0.004355 -0.060347 1336386899.305114031 
64.305536985 -3.437567 1.319108 0.285383 -0.015956 0.103489 -3.076715 -0.096651 -0.033881 0.026636 -0.002256 0.028365 -0.008186 -3.706156 1.309370 0.625910 -0.035624 -0.028204 -3.066410 -0.080956 -0.047835 0.035016 -0.011071 0.014242 -0.010746 1336386908.633386850 
67.282644987 -3.166764 1.436501 0.395573 -0.025428 0.187501 -3.102798 -0.044432 -0.127793 -0.008161 0.000051 0.005810 -0.024199 -3.473256 1.465914 0.728321 -0.067652 0.013046 -3.099866 -0.050140 -0.142356 -0.008132 -0.010256 0.009504 -0.025245 1336386911.610494852 
69.664330959 -3.072517 1.745148 0.403812 -0.036285 0.199551 3.121251 -0.058116 -0.064699 -0.002466 0.004773 0.001892 -0.040897 -3.368164 1.810179 0.733475 -0.092771 0.031542 3.121783 -0.056886 -0.074623 -0.000626 -0.001447 -0.000531 -0.041302 1336386913.992180824 
73.236860991 -2.864270 1.972265 0.444559 -0.048322 0.198864 2.972034 -0.186033 -0.031322 -0.017850 0.016363 0.015190 -0.251436 -3.160523 2.071772 0.762344 -0.101554 0.015693 2.975029 -0.187239 -0.042471 -0.017169 0.009631 0.012558 -0.251536 1336386917.564710855 
74.824651957 -2.565204 1.972850 0.477517 -0.096913 0.188290 2.564539 -0.181004 -0.117478 -0.052250 0.046308 -0.005277 -0.238807 -2.855483 2.091319 0.746729 -0.084366 -0.005121 2.575701 -0.181456 -0.119034 -0.052826 0.046997 -0.005285 -0.237756 1336386919.152501822 
76.213968992 -2.256863 1.974347 0.469127 -0.088571 0.139288 2.231791 -0.088649 -0.065698 -0.052994 0.007670 0.010774 -0.137229 -2.551272 2.100635 0.686242 -0.012894 -0.039501 2.246999 -0.091175 -0.072306 -0.053405 0.003984 0.010836 -0.137037 1336386920.541818857 
78.794130087 -1.964643 1.893339 0.380855 -0.111963 0.127579 1.873649 -0.007531 -0.046554 -0.007372 0.004391 0.003372 -0.053036 -2.260622 2.039326 0.541681 0.011868 -0.013561 1.893177 -0.011089 -0.054225 -0.007043 -0.000203 0.003927 -0.053238 1336386923.121979952 
85.343643188 -1.655167 1.936925 0.373328 -0.120104 0.103841 1.524058 -0.004008 -0.074583 -0.002736 0.002052 -0.006100 0.005567 -1.901520 2.083429 0.490362 0.014457 0.017029 1.544915 -0.007514 -0.083929 -0.001204 -0.002777 -0.003688 0.005407 1336386929.671493053 
89.610831022 -1.338812 1.907851 0.401498 -0.108569 0.080809 1.550841 0.044338 -0.066737 -0.007758 -0.013361 -0.000393 0.045629 -1.544444 2.041939 0.480594 0.002992 0.000955 1.567755 0.043890 -0.077449 -0.006126 -0.018907 0.000952 0.045208 1336386933.938680887 
93.381834984 -1.082186 2.069270 0.386195 -0.143539 0.096703 1.722861 0.005406 -0.118981 0.002232 0.006847 0.007991 0.011251 -1.251953 2.206537 0.456462 -0.068187 0.004022 1.738247 0.003225 -0.128669 0.004263 0.001700 0.009456 0.011100 1336386937.709684849 
