# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1347018758.990485907 0 0 0 0 0 0 1 2383 609 562
1347018759.090502024 0.0115429 -0.00839595 -0.000455915 -0.00104482 0.00121189 0.00817565 0.999965 2414 617 570
1347018759.190518856 0.0208774 -0.017653 -0.00146171 -0.00220181 0.0026708 0.0155896 0.999872 2470 633 579
1347018759.290535927 0.0281431 -0.0289072 -0.00209383 -0.00369162 0.0043313 0.0221034 0.999739 2485 624 577
1347018759.390552044 0.0374891 -0.0350214 -0.00407889 -0.0034048 0.0048408 0.0280909 0.999588 2494 640 594
1347018759.490568876 0.044097 -0.0456428 -0.00500891 -0.00408807 0.00573534 0.0334932 0.999414 2506 630 585
1347018759.590584040 0.0482563 -0.0565673 -0.00770735 -0.00454503 0.00700413 0.038097 0.999239 2484 643 585
1347018759.690600872 0.0578625 -0.0664773 -0.00970037 -0.0043872 0.00619352 0.0421634 0.999082 2450 611 563
1347018759.790617943 0.0633694 -0.0744075 -0.0124098 -0.00328853 0.00622922 0.0457062 0.99893 2494 660 592
1347018759.890631914 0.0615233 -0.0854286 -0.0159313 -0.00253756 0.00787886 0.0485654 0.998786 2497 602 553
1347018759.990649939 0.0669362 -0.0956613 -0.0189167 -0.00135323 0.00725353 0.0511528 0.998664 2532 643 585
1347018760.090666056 0.0700954 -0.108704 -0.0223231 -0.000591456 0.0069593 0.0532378 0.998557 2484 627 581
1347018760.190681934 0.0711626 -0.12072 -0.0253045 0.00103635 0.00705915 0.0550951 0.998456 2503 619 565
1347018760.290699005 0.0733714 -0.135077 -0.0285767 0.00223086 0.00675059 0.0567943 0.998361 2497 621 566
1347018760.390714884 0.0759551 -0.145722 -0.0319946 0.0047539 0.00618768 0.0588019 0.998239 2413 587 546
1347018760.490731001 0.0778976 -0.163643 -0.0349212 0.00546237 0.00592813 0.0608054 0.998117 2468 627 578
1347018760.590747833 0.0810984 -0.173113 -0.0384794 0.00859394 0.00517832 0.0630978 0.997957 2400 569 531
1347018760.690763950 0.083011 -0.190978 -0.0412641 0.00938537 0.00498602 0.0656956 0.997783 2356 578 528
1347018760.790779829 0.0862138 -0.210146 -0.0426608 0.00958841 0.00459241 0.0683692 0.997603 2333 582 537
1347018760.890796900 0.0928124 -0.214472 -0.0453238 0.0137269 0.00305375 0.0714834 0.997343 2305 574 529
1347018760.990813017 0.0976576 -0.230203 -0.0464044 0.0143501 0.00233402 0.0745998 0.997108 2231 532 492
1347018761.090828896 0.098052 -0.241786 -0.049132 0.01588 0.00295863 0.077886 0.996831 2236 534 500
1347018761.190845966 0.107165 -0.258647 -0.0484879 0.0154285 0.00153007 0.0816134 0.996543 2172 562 515
1347018761.290861845 0.113153 -0.271332 -0.0486081 0.0157255 0.00103944 0.0852882 0.996232 2174 511 473
1347018761.390877962 0.117937 -0.291329 -0.045526 0.0135739 0.00133506 0.089224 0.995918 2160 534 491
1347018761.490895033 0.121943 -0.298666 -0.0456063 0.0146071 0.00183935 0.0935782 0.995503 2121 526 484
1347018761.590911865 0.132737 -0.309127 -0.0448353 0.0142432 0.000892864 0.0984151 0.995043 2117 532 488
1347018761.690925837 0.13854 -0.315507 -0.0433474 0.0146837 0.00146723 0.103159 0.994555 2093 525 473
1347018761.790942907 0.146977 -0.329204 -0.0411792 0.0127813 0.00206728 0.108758 0.993984 2123 526 483
1347018761.890959024 0.15561 -0.344351 -0.0371384 0.0102434 0.00305788 0.114683 0.993345 2121 526 479
