# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336385601.784118891 0 0 0 0 0 0 1 1434 385 349
1336385601.883355856 -0.00339376 -0.0046012 0.00268386 -0.000554454 0.000394111 -8.03271e-05 1 1445 377 343
1336385609.226887941 -0.00210738 -0.00180548 0.00354547 -0.000403416 0.000267655 -0.00326801 0.999995 1388 367 345
1336385609.326123953 -0.000286591 0.000665129 0.00251075 -0.000178318 4.85035e-05 -0.0034794 0.999994 1392 383 357
1336385609.425360918 0.00211181 0.00146515 0.00133694 -8.22307e-05 -0.000242676 -0.00350762 0.999994 1401 350 331
1336385609.524598837 -0.00219332 0.00116391 0.00393587 -0.000112145 0.000244869 -0.00350629 0.999994 1367 380 358
1336385609.623836040 -0.00130409 -0.000190637 0.00199291 -0.000211514 0.000120278 -0.00349114 0.999994 1396 379 359
1336385609.723073006 0.00151085 0.0103186 -0.000718829 0.000955713 -0.000180302 -0.00362118 0.999993 1351 359 335
1336385609.822309971 0.00347123 -0.00132074 0.00156963 -0.00034984 -0.00042562 -0.00357113 0.999993 1386 361 334
1336385609.921545982 -0.00064191 -0.00280949 0.00374987 -0.000585786 4.82361e-05 -0.00376021 0.999993 1408 375 343
1336385610.020782948 0.0012651 -0.000674947 0.000514652 -0.00021183 -0.000182592 -0.00361354 0.999993 1396 359 322
1336385610.120019913 -0.00024539 -0.000463289 0.00186497 -0.000241137 -1.95239e-06 -0.00369892 0.999993 1373 373 347
1336385610.219256878 -0.00124335 -0.00200249 0.00339851 -0.000427547 0.000119079 -0.00376007 0.999993 1382 343 317
1336385610.318493843 0.00163317 -0.000721973 0.00026023 -0.000224522 -0.000222119 -0.0036666 0.999993 1399 360 337
1336385610.417731047 -0.00226844 0.00220783 0.000513006 0.000120365 0.000211898 -0.00375186 0.999993 1373 343 317
1336385610.516968012 0.000147306 0.0013644 0.0014957 -4.0825e-05 -3.34538e-05 -0.00386215 0.999993 1356 343 320
1336385610.616204023 -6.87418e-05 -0.00147427 0.00182849 -0.000354402 -2.98999e-05 -0.00387587 0.999992 1375 373 346
1336385610.715440989 -0.00168798 -0.00252264 0.00316969 -0.000447528 0.000152527 -0.00383602 0.999993 1360 354 329
1336385610.814678907 -0.0037264 -0.00146098 0.00302185 -0.000320681 0.000365184 -0.00388099 0.999992 1351 361 334
1336385610.913914919 -0.000208077 -0.000603891 0.00187933 -0.000233011 -1.7894e-05 -0.00391563 0.999992 1401 366 339
1336385611.013151884 0.00433519 0.000531116 -0.000244699 -8.3933e-05 -0.000555769 -0.0039618 0.999992 1373 345 324
1336385611.112390041 0.000174296 0.00499545 -0.000153739 0.000403512 -9.255e-05 -0.0040192 0.999992 1370 381 357
1336385611.211627007 -0.00227449 0.00384136 0.00141765 0.000290307 0.000214821 -0.00401928 0.999992 1341 366 345
1336385611.310863018 -0.000812644 0.00156795 0.000823932 6.61665e-05 6.51413e-05 -0.00399449 0.999992 1375 372 343
1336385611.410100937 0.000919436 0.00448204 -0.000142342 0.000394961 -0.000128805 -0.0040353 0.999992 1341 354 323
1336385611.509336948 -0.00557219 -0.000407049 0.0029438 -0.00016739 0.000596975 -0.00415194 0.999991 1359 368 344
