# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336386834.503517866 0 0 0 0 0 0 1 482 117 87
1336386842.045526028 -0.0887618 -0.0175361 -0.0414213 0.00365319 0.00242511 -0.0603327 0.998169 502 131 91
1336386842.144762039 -0.0931251 -0.0156499 -0.0439351 0.00403131 0.00262135 -0.061369 0.998104 486 120 81
1336386842.243999958 -0.101844 -0.0322001 -0.0398977 -0.000506946 0.00365992 -0.0622584 0.998053 492 116 78
1336386842.343235970 -0.105467 -0.0257498 -0.0436387 0.000807103 0.00384015 -0.0626567 0.998027 489 116 82
1336386842.442472935 -0.0944481 -0.00600664 -0.0506818 0.00601859 0.000684432 -0.0626679 0.998016 534 113 83
1336386842.541709900 -0.102083 -0.0153262 -0.0488117 0.00306827 0.00180283 -0.0631287 0.997999 526 111 83
1336386842.640948057 -0.106976 -0.0181343 -0.0505571 0.00206286 0.00234584 -0.0634503 0.99798 503 125 86
1336386842.740059853 -0.103904 -0.0175354 -0.0503389 0.00203118 0.000988594 -0.0638955 0.997954 500 120 82
1336386842.839295864 -0.118265 -0.0240314 -0.0523699 -0.00014944 0.00415538 -0.0646398 0.9979 526 119 89
1336386842.938532829 -0.100894 -0.0083873 -0.0527626 0.00375034 -0.000460622 -0.0648608 0.997887 516 127 81
1336386843.037770033 -0.115782 -0.0241051 -0.0511048 -0.000799462 0.00261148 -0.0662237 0.997801 504 118 74
1336386843.137006998 -0.115418 -0.0179691 -0.0536047 0.000482557 0.0025654 -0.0667133 0.997769 494 111 90
1336386843.236243010 -0.112764 -0.0228279 -0.0506864 -0.000978953 0.00173484 -0.0674722 0.997719 508 92 78
1336386843.335480928 -0.113697 -0.0193156 -0.0540558 -0.000186157 0.0020655 -0.0684335 0.997654 518 117 90
1336386843.434717894 -0.12302 -0.0260651 -0.0549746 -0.00223557 0.00435699 -0.06962 0.997562 517 112 86
1336386843.533954859 -0.112909 -0.0110595 -0.0582203 0.00179909 0.00223815 -0.0704489 0.997511 549 123 100
1336386843.633191824 -0.115309 -0.0169187 -0.0559933 0.000319803 0.00278314 -0.0718162 0.997414 532 130 92
1336386843.732429028 -0.111443 -0.0153932 -0.055345 0.000982992 0.00187242 -0.0732337 0.997313 539 139 97
1336386843.831665993 -0.120194 -0.0182865 -0.0583002 0.000356888 0.00431309 -0.0740359 0.997246 537 133 98
1336386843.930902958 -0.120982 -0.0198141 -0.0580713 0.000289688 0.00460209 -0.0749562 0.997176 518 126 91
1336386844.030139923 -0.120535 -0.017294 -0.0607817 0.00138575 0.00479721 -0.0753549 0.997144 533 114 80
